t,a,Cd,Cl
0.0,0,0.00000,0.00000
0.1,1,0.00028,-0.00039
0.2,2,0.00056,-0.00078
0.3,3,0.00083,-0.00117
0.4,4,0.00111,-0.00156
0.6,5,0.00139,-0.00195
0.7,6,0.00167,-0.00234
0.8,7,0.00194,-0.00273
0.9,8,0.00222,-0.00312
1.0,9,0.00250,-0.00351
1.1,10,0.00278,-0.00390
1.2,11,0.00306,-0.00429
1.3,12,0.00333,-0.00468
1.4,13,0.00361,-0.00507
1.6,14,0.00389,-0.00546
1.7,15,0.00417,-0.00913
1.8,16,0.00444,-0.01279
1.9,17,0.00472,-0.01646
2.0,18,0.00500,-0.02012
2.1,19,0.01000,-0.03130
2.2,20,0.01500,-0.04248
2.3,21,0.02000,-0.05366
2.4,22,0.02500,-0.06484
2.6,23,0.03000,-0.07602
2.7,24,0.03500,-0.07900
2.8,25,0.04000,-0.08198
2.9,26,0.04500,-0.08496
3.0,27,0.05000,-0.08794
3.1,28,0.05500,-0.08540
3.2,29,0.06000,-0.08286
3.3,30,0.06500,-0.08032
3.4,31,0.07000,-0.07778
3.6,32,0.07500,-0.07524
3.7,33,0.08000,-0.07270
3.8,34,0.08500,-0.07016
3.9,35,0.09000,-0.06762
4.0,36,0.09500,-0.06508
4.1,37,0.10000,-0.06000
4.2,38,0.10058,-0.05492
4.3,39,0.10115,-0.04984
4.4,40,0.10173,-0.04476
4.6,41,0.10231,-0.03968
4.7,42,0.10288,-0.03460
4.8,43,0.10346,-0.02952
4.9,44,0.10404,-0.02953
5.0,45,0.10462,-0.02954
5.1,46,0.10519,-0.02955
5.2,47,0.10577,-0.02956
5.3,48,0.10635,-0.02957
5.4,49,0.10692,-0.02958
5.6,50,0.10750,-0.02959
5.7,51,0.10808,-0.02960
5.8,52,0.10865,-0.02961
5.9,53,0.10923,-0.02962
6.0,54,0.10981,-0.02963
6.1,55,0.11038,-0.02964
6.2,56,0.11096,-0.02965
6.3,57,0.11154,-0.02966
6.4,58,0.11212,-0.02967
6.5,59,0.11269,-0.02968
6.7,60,0.11327,-0.02969
6.8,61,0.11385,-0.02970
6.9,62,0.11442,-0.02971
7.0,63,0.11500,-0.02972
7.1,64,0.11558,-0.02973
7.2,65,0.11615,-0.02974
7.3,66,0.11673,-0.02975
7.4,67,0.11731,-0.02976
7.5,68,0.11788,-0.02977
7.7,69,0.11846,-0.02978
7.8,70,0.11904,-0.02979
7.9,71,0.11962,-0.02980
8.0,72,0.12019,-0.02981
8.1,73,0.12077,-0.02982
8.2,74,0.12135,-0.02983
8.3,75,0.12192,-0.02984
8.4,76,0.12250,-0.02985
8.5,77,0.12308,-0.02986
8.7,78,0.12365,-0.02987
8.8,79,0.12423,-0.02988
8.9,80,0.12481,-0.02989
9.0,81,0.12538,-0.02990
9.1,82,0.12596,-0.02991
9.2,83,0.12654,-0.02992
9.3,84,0.12712,-0.02993
9.4,85,0.12769,-0.02994
9.5,86,0.12827,-0.02995
9.7,87,0.12885,-0.02996
9.8,88,0.12942,-0.02997
9.9,89,0.13000,-0.02998
10.0,90,0.13000,-0.03000
